month,hrc_usd_t,rebar_usd_t,iron_ore_usd_t,coking_coal_usd_t,scrap_usd_t,blended_cost_usd_t,hrc_margin_usd_t,crude_steel_output_mt,apparent_demand_mt,exports_mt
2024-01,566.17,510.64,111.48,266.31,367.64,367.51,164.66,98.62,96.71,10.6
2024-02,565.47,525.72,115.05,266.47,377.44,373.52,157.94,82.03,78.52,8.96
2024-03,570.06,536.22,122.28,270.78,380.72,385.91,150.14,82.16,77.35,8.99
2024-04,576.49,543.6,115.16,245.53,376.41,364.37,178.12,102.2,98.51,11.72
2024-05,567.84,537.85,115.13,223.35,371.15,354.08,179.76,80.5,76.66,9.51
2024-06,552.23,538.04,112.14,208.31,364.24,342.6,175.63,78.83,75.42,9.4
2024-07,543.71,518.55,102.2,199.61,355.39,323.95,185.76,96.14,92.44,11.88
2024-08,536.22,501.98,95.36,190.52,345.01,309.35,192.87,74.91,72.46,9.26
2024-09,526.05,484.76,93.4,200.43,337.82,310.28,181.77,92.43,88.96,11.86
2024-10,522.75,481.24,93.27,212.65,335.55,315.25,173.5,74.3,71.13,9.71
2024-11,522.08,485.49,94.97,234.73,343.37,328.09,159.99,74.8,71.48,10.03
2024-12,530.96,489.25,101.11,247.34,352.08,343.11,153.85,94.77,90.79,13.15
2025-01,552.36,501.36,106.69,261.61,362.43,358.21,160.14,78.18,73.07,10.99
2025-02,557.78,510.6,110.06,257.07,366.72,361.37,162.41,79.63,75.37,11.49
2025-03,561.67,519.75,115.92,245.74,376.74,365.56,162.11,100.72,93.95,14.61
2025-04,561.86,525.72,111.82,233.43,369.49,353.69,174.16,79.14,75.58,11.92
2025-05,553.59,530.41,111.21,216.97,369.85,345.63,173.97,79.53,75.02,12.11
2025-06,538.32,510.44,103.39,198.59,357.7,325.4,178.92,95.91,92.16,14.98
2025-07,533.73,503.3,96.8,186.39,349.86,310.01,189.72,75.09,71.01,11.82
2025-08,522.34,485.1,93.9,178.97,336.25,301.4,186.94,73.89,69.47,12.03
2025-09,511.94,475.97,87.04,188.45,329.27,295.24,182.69,90.42,85.67,15.13
2025-10,515.92,464.7,83.97,209.34,337.97,300.93,180.99,71.97,68.79,12.3
2025-11,519.71,454.2,88.91,228.17,339.39,316.31,169.41,72.82,69.09,12.31
2025-12,527.53,476.32,91.67,235.16,341.5,323.46,170.08,74.91,70.35,12.81
