scenario,year,demand_mt,supply_mt,balance_mt,steel_price_usd_t,cash_cost_usd_t,margin_usd_t,eaf_share
Downside,2025,980.0,995.0,15.0,515.7,455.0,60.7,0.15
Downside,2026,955.5,983.1,27.6,517.1,459.0,58.1,0.16
Downside,2027,931.6,971.3,39.7,518.5,463.0,55.6,0.17
Downside,2028,908.3,959.6,51.3,520.0,467.0,53.0,0.18
Downside,2029,885.6,948.1,62.5,521.5,471.1,50.4,0.19
Downside,2030,863.5,936.7,73.2,523.0,475.2,47.8,0.2
Base,2025,980.0,995.0,15.0,514.9,455.0,59.9,0.15
Base,2026,970.2,987.0,16.8,521.9,460.9,61.0,0.166
Base,2027,960.5,979.1,18.6,529.1,466.9,62.2,0.182
Base,2028,950.9,971.3,20.4,536.3,472.9,63.4,0.198
Base,2029,941.4,963.5,22.2,543.7,479.1,64.6,0.214
Base,2030,932.0,955.8,23.9,551.1,485.3,65.8,0.23
Upside,2025,980.0,995.0,15.0,514.1,455.0,59.1,0.15
Upside,2026,984.9,991.0,6.1,527.9,462.8,65.1,0.172
Upside,2027,989.8,987.1,-2.8,542.1,470.8,71.4,0.194
Upside,2028,994.8,983.1,-11.7,556.7,478.9,77.9,0.216
Upside,2029,999.7,979.2,-20.6,571.7,487.1,84.6,0.238
Upside,2030,1004.7,975.3,-29.5,587.1,495.4,91.7,0.26
