week_start,hrc_usd_t,rebar_usd_t,iron_ore_usd_t,coking_coal_usd_t,scrap_usd_t,crude_steel_output_mt,apparent_demand_mt,exports_mt,bf_bof_cost_usd_t,eaf_cost_usd_t,blended_cost_usd_t,hrc_margin_usd_t,is_synthetic
2024-01-01,563.2,502.07,110.64,268.47,370.68,19.581,18.847,2.089,369.27,355.13,367.57,161.63,True
2024-01-08,570.94,517.45,113.65,273.98,360.13,20.099,19.056,2.128,376.82,346.9,373.23,163.7,True
2024-01-15,566.09,497.03,106.09,260.35,367.83,19.734,19.62,2.087,357.92,352.9,357.32,174.77,True
2024-01-22,559.9,507.91,112.41,284.06,380.93,19.549,19.727,2.091,379.89,363.12,377.88,148.03,True
2024-01-29,570.71,528.74,114.6,244.7,358.63,19.661,19.456,2.207,363.7,345.73,361.55,175.16,True
2024-02-05,558.95,527.1,114.62,266.39,379.33,20.4,19.523,2.186,374.58,361.88,373.06,151.89,True
2024-02-12,560.35,524.76,115.36,271.93,371.83,20.304,19.447,2.229,378.54,356.03,375.84,150.51,True
2024-02-19,571.81,517.53,114.8,253.24,380.89,20.87,19.592,2.338,368.31,363.1,367.68,170.13,True
2024-02-26,570.75,533.48,115.41,274.33,377.7,20.452,19.96,2.21,379.82,360.61,377.51,159.24,True
2024-03-04,570.13,520.71,127.86,269.6,369.81,20.62,19.224,2.216,397.37,354.45,392.22,143.91,True
2024-03-11,580.96,546.23,118.4,275.86,382.31,20.529,19.214,2.233,385.38,364.2,382.83,164.12,True
2024-03-18,557.18,545.98,122.6,259.44,377.74,20.43,19.578,2.261,383.88,360.64,381.09,142.09,True
2024-03-25,571.97,531.95,120.28,278.21,393.02,20.581,19.333,2.276,389.55,372.56,387.52,150.45,True
2024-04-01,575.09,558.32,116.07,263.42,385.99,20.502,19.525,2.306,375.42,367.07,374.42,166.67,True
2024-04-08,576.23,536.76,112.47,253.54,368.61,20.317,19.746,2.288,364.73,353.51,363.38,178.85,True
2024-04-15,583.05,539.76,114.88,255.03,378.02,20.606,19.497,2.321,369.32,360.85,368.3,180.74,True
2024-04-22,579.61,535.99,115.28,228.77,371.37,20.64,19.738,2.339,356.84,355.67,356.7,188.92,True
2024-04-29,568.46,547.16,117.1,226.88,378.04,20.138,20.006,2.467,358.8,360.87,359.04,175.42,True
2024-05-06,572.53,535.09,118.48,224.28,378.17,20.599,19.52,2.335,359.7,360.97,359.86,178.67,True
2024-05-13,573.05,544.34,121.59,235.84,374.41,19.73,19.263,2.327,370.47,358.04,368.98,170.08,True
2024-05-20,559.13,542.42,107.43,221.93,368.39,19.736,18.953,2.429,340.85,353.34,342.35,182.78,True
2024-05-27,566.64,529.55,113.02,211.35,363.65,20.438,18.921,2.421,344.51,349.65,345.13,187.52,True
2024-06-03,547.43,543.93,116.8,207.4,367.68,19.753,18.558,2.379,348.57,352.79,349.08,164.35,True
2024-06-10,552.39,537.34,113.22,217.44,363.08,19.933,19.238,2.323,347.87,349.21,348.03,170.36,True
2024-06-17,551.56,538.82,111.54,208.53,370.04,19.52,18.861,2.377,340.73,354.63,342.4,175.16,True
2024-06-24,557.54,532.08,107.0,199.88,356.17,19.628,18.766,2.326,329.14,343.82,330.9,192.64,True
2024-07-01,558.27,521.15,101.91,208.97,370.97,19.308,18.746,2.358,325.54,355.35,329.12,195.16,True
2024-07-08,540.95,527.37,107.54,197.83,360.6,19.105,18.265,2.391,328.98,347.27,331.17,175.77,True
2024-07-15,543.67,518.89,104.35,195.46,353.3,19.575,18.708,2.408,322.69,341.57,324.96,184.71,True
2024-07-22,538.58,514.9,98.55,197.09,348.41,18.956,18.502,2.28,314.22,337.76,317.05,187.53,True
2024-07-29,537.09,510.43,98.64,198.69,343.69,19.197,18.215,2.444,315.17,334.07,317.43,185.65,True
2024-08-05,536.29,508.62,99.09,188.73,360.41,18.968,18.397,2.282,310.91,347.12,315.26,187.03,True
